"","1","2","3","4","5","6"
"for",8.45443706780107e-05,9.04954363739412e-05,0.00014696319421853,0,0.000129602858252167,0
"future",8.45443706780107e-05,9.04954363739412e-05,4.89877314061767e-05,0,6.48014291260835e-05,0
"gates",0.000229073926972273,0.000245198406670971,0,0,0,0
"geosciences",0.000229073926972273,0.000245198406670971,0,0,0,0
"gifford",0.000229073926972273,0.000245198406670971,0,0,0,0
"glover",0.000229073926972273,0.000245198406670971,0,0,0,0
"grundfest",0.000229073926972273,0.000245198406670971,0,0,0,0
"gspacex",0.000229073926972273,0.000245198406670971,0,0,0,0
"guinea",0.000229073926972273,0.000245198406670971,0,0,0,0
"hahar",0.000229073926972273,0.000245198406670971,0,0,0,0
"hark",0.000229073926972273,0.000245198406670971,0,0,0,0
"hassabis",0.000229073926972273,0.000245198406670971,0,0,0,0
"hawking",0.000458147853944546,0.000490396813341942,0,0,0,0
"heard",0.000229073926972273,0.000245198406670971,0,0,0,0
"heavy",0.000169088741356021,0.000180990872747882,0.00014696319421853,0,6.48014291260835e-05,0
"heigeartaigh",0.000229073926972273,0.000245198406670971,0,0,0,0
"horvitz",0.000229073926972273,0.000245198406670971,0,0,0,0
"hughes",0.000229073926972273,0.000245198406670971,0,0,0,0
"huquicamata",0.000229073926972273,0.000245198406670971,0,0,0,0
"ibm",0.000373603483266535,0,0,0,0,0
"ichard",0.000458147853944546,0.000490396813341942,0,0,0,0
"ick",0.000289059112588524,0.000309405940594059,8.37450799765514e-05,0,0,0
"icrosoft",0.000229073926972273,0.000245198406670971,0,0,0,0
"ictor",0.000229073926972273,0.000245198406670971,0,0,0,0
"idelity",0.000229073926972273,0.000245198406670971,0,0,0,0
"igafactory",8.45443706780107e-05,9.04954363739412e-05,4.89877314061767e-05,0,6.48014291260835e-05,0
"ilk",0.000229073926972273,0.000245198406670971,0,0,0,0
"inesh",0.000229073926972273,0.000245198406670971,0,0,0,0
"infosys",0.000229073926972273,0.000245198406670971,0,0,0,0
"institute",0.000687221780916819,0.000735595220012913,0,0,0,0
